size,run_time
2,2.150004729628563e-05
3,1.400010660290718e-05
4,2.5600194931030273e-05
5,1.2899981811642647e-05
6,1.1299969628453255e-05
7,1.209997572004795e-05
8,1.3499986380338669e-05
9,3.679981455206871e-05
10,3.069988451898098e-05
11,2.9299873858690262e-05
13,3.0800001695752144e-05
15,4.100007936358452e-05
17,5.6999968364834785e-05
19,5.8099860325455666e-05
21,6.109988316893578e-05
24,6.489991210401058e-05
27,6.83001708239317e-05
30,0.00011159991845488548
33,0.00011430005542933941
37,0.00011970009654760361
41,0.00013040006160736084
46,0.00013040006160736084
51,0.00013699987903237343
57,0.0001449999399483204
63,0.0002327000256627798
70,0.00023819995112717152
77,0.0002454000059515238
85,0.0002590999938547611
94,0.0002685000654309988
104,0.00027970015071332455
115,0.00045449985191226006
127,0.00047239987179636955
140,0.00048559997230768204
154,0.0005109000485390425
170,0.0005779999773949385
188,0.0005584000609815121
207,0.000619600061327219
228,0.0009252999443560839
251,0.0009534000419080257
277,0.0009925998747348785
305,0.0010305000469088554
336,0.0010730999056249857
370,0.0011166001204401255
408,0.0011729001998901367
449,0.001233900198712945
494,0.0019539999775588512
544,0.0016381999012082815
599,0.001669999910518527
659,0.001752600073814392
725,0.0018299000803381205
798,0.001899800030514598
878,0.0017170000355690718
966,0.002602300141006708
1063,0.0026817999314516783
1170,0.002718899864703417
1287,0.002503899857401848
1416,0.004475399851799011
1558,0.005261900136247277
1714,0.004958600038662553
1886,0.00787029997445643
2075,0.006988600129261613
2283,0.006798899965360761
2512,0.007632100023329258
2764,0.007710800040513277
3041,0.008223399985581636
3346,0.008342699846252799
3681,0.013143099844455719
4050,0.01375690009444952
4455,0.014471099944785237
4901,0.015032700030133128
5392,0.01555690006352961
5932,0.0158975999802351
6526,0.01657050009816885
7179,0.026048900093883276
7897,0.02741460013203323
8687,0.022416300140321255
9556,0.027402899926528335
10512,0.029031099984422326
11564,0.032304099993780255
12721,0.03125930018723011
13994,0.033019599970430136
15394,0.05342410015873611
16934,0.05369329988025129
18628,0.059718400007113814
20491,0.06651129992678761
22541,0.06082420004531741
24796,0.06934310006909072
27276,0.07136589987203479
30004,0.10529169999063015
33005,0.10602080007083714
36306,0.11278810002841055
39937,0.1149112000130117
43931,0.11714960006065667
48325,0.12265080003999174
53158,0.13363990001380444
58474,0.20678750006482005
64322,0.21323110000230372
70755,0.2255229998845607
77831,0.22541409987024963
85615,0.24913739995099604
94177,0.24456629995256662
103595,0.2625537000130862
113955,0.28168209991417825
125351,0.4472507999744266
137887,0.4573649999219924
151676,0.4873221998568624
166844,0.4876268000807613
183529,0.530244099907577
201882,0.5320439001079649
222071,0.5712393000721931
244279,0.9116434999741614
268707,0.9081762998830527
295578,0.9743701000697911
325136,1.0264582999516279
357650,1.0177901999559253
393416,1.0841862000524998
432758,1.1404710998758674
476034,1.7618998000398278
523638,1.8538786000572145
576002,1.878907199949026
633603,1.958234400022775
696964,2.0291185001842678
766661,2.1814258999656886
843328,2.2882755000609905
927661,3.5391116000246257
1020428,3.627521299989894
1122471,4.178791000042111
1234719,3.8702376999426633
1358191,4.051312299910933
1494011,4.197651399997994
1643413,4.477922000223771
1807755,4.784652300179005
1988531,7.227717600064352
2187385,7.456383700016886
2406124,7.708138900110498
2646737,7.967976399930194
2911411,8.335891199996695
3202553,8.651365699945018
3522809,9.696365399984643
3875090,14.493186000036076
4262599,14.68781409994699
4688859,15.561926499940455
